rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
2595,community management of boreholes,1,1,Community Management,high,'community management' over 'community'
2596,community management of water facility,1,1,Community Management,high,'community management' over 'community'
2597,community management of water schemes,1,1,Community Management,high,'community management' over 'community'
2598,community management of water supplies,1,1,Community Management,high,'community management' over 'community'
2599,community management reporting transparency,1,1,Community Management,high,'community management' over 'transparen'
2600,community management skills,1,1,Community Management,high,'community management' over 'community'
2601,community management structure at lower level,1,1,Community Management,high,'community management' over 'community'
2602,community material contribution to projects,1,1,Community / Users,high,matched 'community'
2603,community meetings,1,1,Community / Users,high,matched 'community'
2604,community member maintenance,1,1,O&M,high,'maintenance' over 'community'
2605,community member responsibilities,1,1,Community / Users,high,matched 'community'
2606,community member training,1,1,Community / Users,medium,'community' over 'training'
2607,community mindset uniformity,1,1,Community / Users,high,matched 'community'
2608,community minor maintenance capacity,1,1,O&M,high,'maintenance' over 'community'
2609,community misuse of water schemes,1,1,Community / Users,high,matched 'community'
2610,community mobilization and awareness,1,1,Capacity Building,high,'community mobiliz' over 'awareness'
2611,community mobilization and training,1,1,Capacity Building,high,'community mobiliz' over 'community'
2612,community mobilization events,1,1,Capacity Building,high,'community mobiliz' over 'community'
2613,community mobilization for cleanliness,1,1,Capacity Building,high,'community mobiliz' over 'cleanliness'
2614,community mobilization for labor and finance,1,1,Capacity Building,high,'community mobiliz' over 'community'
2615,community mobilization for latrine sustainability,1,1,Capacity Building,high,'community mobiliz' over 'sustainab'
2616,community mobilization for small water schemes,1,1,Capacity Building,high,'community mobiliz' over 'community'
2617,community mobilization in pastoral context,1,1,Capacity Building,high,'community mobiliz' over 'community'
2618,community mobilization unit planning for O&M,1,1,Capacity Building,high,'community mobiliz' over 'community'
2619,community mobilization unit support,1,1,Capacity Building,high,'community mobiliz' over 'community'
2620,community monitoring,1,1,Monitoring,medium,'monitoring' over 'community'
2621,community monthly contributions,1,1,Community / Users,high,matched 'community'
2622,community motivation for environmental cleanliness,1,1,Environmental,high,'environmental' over 'cleanliness'
2623,community motivation to clean,1,1,Community / Users,high,matched 'community'
2624,community needs assessment at project inception,1,1,Planning,high,'needs assessment' over 'community'
2625,community needs data collection,1,1,Monitoring,high,'data collection' over 'community'
2626,community needs identification,1,1,Community / Users,high,matched 'community'
2627,community opposition to damping site,1,1,Community / Users,high,matched 'community'
2628,community opposition to government,1,1,Govt Management,medium,'government' over 'community'
2629,community opposition to waste disposal,1,1,Community / Users,high,matched 'community'
2630,community organizational capacity,1,1,Community / Users,high,matched 'community'
2631,community orientation,1,1,Community / Users,high,matched 'community'
2632,community outbreak response programs,1,1,Community / Users,high,matched 'community'
2633,community outreach capacity,1,1,Capacity Building,high,'community outreach' over 'community'
2634,community over-reliance on implementing organizations,1,1,Community / Users,high,matched 'community'
2635,community oversight of institutions,1,1,Community / Users,low,'community' over 'oversight'
2636,community ownership of water infrastructure,1,1,Community Management,high,'community ownership' over 'infrastructure'
2637,community ownership of water institutions,1,1,Community Management,high,'community ownership' over 'community'
2638,community ownership of water source,1,1,Community Management,high,'community ownership' over 'community'
2639,community ownership of water sources,1,1,Community Management,high,'community ownership' over 'community'
2640,community participation in decision-making and design,1,1,Community Management,high,'community participation' over 'decision-making'
2641,community participation in fund-raising,1,1,Community Management,high,'community participation' over 'community'
2642,community participation in maintenance,1,1,Community Management,high,'community participation' over 'maintenance'
2643,community participation in maintenance and management,1,1,Community Management,high,'community participation' over 'maintenance'
2644,community participation in material transport,1,1,Community Management,high,'community participation' over 'transport'
2645,community participation in planning,1,1,Community Management,high,'community participation' over 'community'
2646,community participation in project meetings,1,1,Community Management,high,'community participation' over 'community'
2647,community participation in research,1,1,Community Management,high,'community participation' over 'community'
2648,community participation in scheme design,1,1,Community Management,high,'community participation' over 'community'
2649,community participation in sustainability planning,1,1,Community Management,high,'community participation' over 'sustainab'
2650,community participation in water infrastructure development,1,1,Community Management,high,'community participation' over 'infrastructure'
2651,community participation in water scheme management,1,1,O&M,low,'water scheme management' over 'community participation'
2652,community participation in water service development,1,1,Community Management,high,'community participation' over 'water service'
2653,community participation in water study,1,1,Community Management,high,'community participation' over 'community'
2654,community payment compliance,1,1,Laws + Regulations,medium,'compliance' over 'community'
2655,community payment discipline,1,1,Community / Users,medium,'community' over 'payment'
