factor,bucket,confidence,rationale,total_refs
awareness among concerned bodies,Community / Users,high,matched 'awareness',1
awareness and training programs,Community / Users,medium,'awareness' over 'training',1
awareness building activities on sanitation and hygiene,Community / Users,high,matched 'sanitation and hygiene',1
awareness campaign in kebeles,Capacity Building,high,'awareness campaign' over 'awareness',1
awareness campaigns alone,Capacity Building,high,'awareness campaign' over 'awareness',1
awareness campaigns for students and teachers,Capacity Building,high,'awareness campaign' over 'awareness',1
awareness campaigns on sanitation,Capacity Building,high,'awareness campaign' over 'awareness',1
awareness creation and mobilization,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation before enforcement,Capacity Building,high,'awareness creation' over 'enforcement',1
awareness creation campaign,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation campaigns,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation continuity and schedule,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation cost,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation on proper use of water schemes,Capacity Building,high,'awareness creation' over 'proper use',1
awareness creation on water and sanitation,Capacity Building,high,'awareness creation' over 'awareness',1
awareness creation platforms,Capacity Building,high,'awareness creation' over 'awareness',1
awareness effectiveness,Community / Users,high,matched 'awareness',1
awareness enhancement campaign,Community / Users,high,matched 'awareness',1
awareness enhancement training on waste management,Service Performance,high,'waste management' over 'awareness',1
awareness enhancement training on water scheme management,O&M,high,'water scheme management' over 'awareness',1
awareness enhancement trainings,Community / Users,medium,'awareness' over 'training',1
awareness of coverage gaps,Service Performance,low,'coverage' over 'awareness',1
awareness of sanitation and hygiene importance,Community / Users,high,matched 'sanitation and hygiene',1
awareness of waste disposal risks,Community / Users,high,matched 'awareness',1
awareness of water projects,Community / Users,high,matched 'awareness',1
awareness on efficient water utilization,Community / Users,high,matched 'awareness',1
awareness on proper water well utilization,Community / Users,high,'awareness' over 'well',1
awareness on sanitation and hygiene,Community / Users,high,matched 'sanitation and hygiene',1
awareness program costs,Community / Users,high,matched 'awareness',1
awareness programs by sanitation officer,Community / Users,medium,'awareness' over 'officer',1
awareness programs for waste sector workers,Community / Users,high,matched 'awareness',1
awareness raising program,Capacity Building,high,'awareness raising' over 'awareness',1
awareness training for regional officials,Govt Management,low,'officials' over 'awareness',1
awareness training on communal latrine management,Community / Users,medium,'awareness' over 'training',1
awareness training on latrine construction,Infrastructure,high,'construction' over 'awareness',1
awareness training programs,Community / Users,medium,'awareness' over 'training',1
balanced water utilization system,Service Performance,low,token-overlap fallback (29),1
bank account monitoring,Monitoring,high,matched 'monitoring',1
bank financing for community water projects,Govt / External Finance,low,'financing' over 'community',1
banking water revenue,Community Finance,high,matched 'revenue',1
basic facilities access,Infrastructure,high,matched 'facilities',1
basic service establishment,Service Performance,low,token-overlap fallback (17),1
bathing service income,Community Finance,high,matched 'income',1
behavior change,Community / Users,high,matched 'behavior',1
beneficiary feedback collection,Community Finance,low,token-overlap fallback (2),1
beneficiary trust,Community / Users,low,token-overlap fallback (1),1
bid bureaucracy,Govt Management,high,matched 'bureaucra',1
bidder competency requirements,Community / Users,low,no match — defaulted to Community / Users,1
bidder knowledge of local conditions,Govt Management,low,token-overlap fallback (2),1
billing accuracy,Community Finance,high,matched 'billing',1
billing system improvement,Community Finance,high,matched 'billing',1
binding accountability system,Monitoring,high,matched 'accountab',1
board independence,Community / Users,low,no match — defaulted to Community / Users,1
board monitoring,Monitoring,high,matched 'monitoring',1
bookkeeping training for WASH committee,Community Management,high,'wash committee' over 'training',1
bore hole drilling regulation,Infrastructure,low,'bore hole' over 'regulation',1
borehole abandonment,Infrastructure,high,matched 'borehole',1
borehole accessory completeness at commissioning,Infrastructure,high,matched 'borehole',1
borehole casing,Infrastructure,high,matched 'borehole',1
borehole completion documentation,Infrastructure,high,matched 'borehole',1
borehole condition,Infrastructure,high,matched 'borehole',1
borehole construction in underserved areas,Infrastructure,high,matched 'construction',1
borehole construction quality,Infrastructure,high,matched 'construction',1
borehole dependence,Infrastructure,high,matched 'borehole',1
borehole diagnosis and repair,Infrastructure,medium,'borehole' over 'repair',1
borehole distance from town,Infrastructure,high,matched 'borehole',1
borehole downtime,Service Performance,low,'downtime' over 'borehole',1
borehole drilling depth,Infrastructure,high,matched 'borehole',1
borehole drying,Infrastructure,high,matched 'borehole',1
borehole expansion,Infrastructure,high,matched 'expansion',1
borehole investment viability,Govt / External Finance,medium,'investment' over 'borehole',1
borehole legal status,Infrastructure,high,'borehole' over 'legal',1
borehole maintenance capacity,O&M,high,'maintenance' over 'borehole',1
borehole management,Infrastructure,high,matched 'borehole',1
borehole material quality,Infrastructure,high,matched 'borehole',1
borehole operation knowledge,Infrastructure,high,matched 'borehole',1
borehole operational reliability,Infrastructure,high,matched 'borehole',1
borehole overcrowding,Infrastructure,high,matched 'borehole',1
borehole overuse,Infrastructure,high,matched 'borehole',1
borehole project,Infrastructure,high,matched 'borehole',1
borehole proximity to communities,Infrastructure,high,matched 'borehole',1
borehole rechargeability,Infrastructure,high,matched 'borehole',1
borehole rehabilitation,O&M,high,'rehabilitat' over 'borehole',1
borehole repair,Infrastructure,medium,'borehole' over 'repair',1
borehole repair funding,Infrastructure,medium,'borehole' over 'funding',1
borehole site selection,Planning,high,'site selection' over 'borehole',1
borehole suitability,Infrastructure,high,matched 'borehole',1
borehole suitability for domestic use,Infrastructure,high,matched 'borehole',1
borehole supply capacity,Infrastructure,high,matched 'borehole',1
borehole technology,Infrastructure,high,matched 'technology',1
borehole usability,Infrastructure,high,matched 'borehole',1
borehole usability for domestic use,Infrastructure,high,matched 'borehole',1
borehole viability,Infrastructure,high,matched 'borehole',1
borehole water levels,Infrastructure,high,matched 'borehole',1
borehole water quality,Service Performance,high,'water quality' over 'borehole',1
borehole water utilization,Infrastructure,high,matched 'borehole',1
breakdown diagnosis and repair time,Service Performance,high,'breakdown' over 'repair',1
breakdown frequency,Service Performance,high,matched 'breakdown',1
breakdown maintenance capacity,O&M,medium,'maintenance' over 'breakdown',1
breakdown recovery capacity,Service Performance,high,matched 'breakdown',1
breakdown repair response,Service Performance,high,'breakdown' over 'repair',1
